iter	Passed	Remaining
0	0	469
1	2	559
2	3	625
3	5	720
4	7	790
5	9	801
6	11	791
7	12	794
8	14	781
9	15	780
10	17	779
11	18	765
12	20	772
13	22	781
14	23	769
15	25	763
16	27	767
17	28	773
18	29	759
19	31	746
20	32	735
21	33	729
22	34	724
23	35	713
24	36	702
25	38	693
26	39	695
27	40	686
28	41	670
29	42	661
30	43	653
31	44	645
32	45	640
33	46	636
34	47	630
35	48	624
36	49	617
37	50	610
38	51	606
39	52	599
40	53	593
41	53	587
42	54	582
43	55	577
44	56	572
45	57	568
46	58	563
47	59	560
48	61	563
49	62	560
50	63	558
51	64	555
52	65	551
53	66	547
54	67	543
55	68	539
56	69	537
57	70	533
58	71	531
59	72	529
60	73	527
61	74	524
62	75	522
63	76	520
64	77	517
65	78	513
66	78	510
67	79	506
68	80	504
69	81	501
70	82	497
71	83	494
72	83	490
73	84	486
74	85	483
75	85	479
76	86	476
77	87	473
78	88	470
79	88	466
80	89	463
81	90	459
82	90	456
83	92	457
84	92	453
85	93	449
86	93	445
87	94	442
88	95	439
89	95	436
90	96	433
91	97	430
92	97	427
93	98	423
94	98	420
95	99	418
96	99	415
97	100	412
98	101	409
99	101	406
100	102	404
101	102	401
102	103	398
103	103	395
104	104	392
105	104	389
106	105	386
107	105	384
108	106	381
109	106	378
110	107	376
111	107	373
112	108	370
113	108	368
114	109	365
115	109	362
116	110	360
117	110	357
118	111	355
119	111	353
120	112	351
121	112	349
122	113	347
123	113	344
124	114	343
125	115	341
126	115	340
127	116	338
128	116	336
129	117	334
130	118	332
131	118	330
132	119	328
133	119	326
134	120	324
135	120	322
136	120	320
137	121	318
138	121	316
139	122	314
140	122	312
141	123	310
142	123	308
143	124	307
144	124	305
145	125	303
146	125	301
147	126	299
148	126	297
149	126	296
150	127	294
151	127	293
152	128	291
153	128	289
154	129	288
155	130	286
156	130	285
157	131	283
158	131	281
159	131	280
160	132	278
161	132	276
162	133	275
163	133	273
164	134	272
165	134	270
166	135	269
167	135	268
168	136	267
169	136	265
170	137	264
171	137	262
172	138	261
173	138	260
174	139	258
175	139	257
176	140	255
177	140	254
178	140	252
179	141	251
180	141	250
181	142	248
182	142	247
183	143	245
184	143	244
185	143	243
186	144	241
187	144	240
188	145	238
189	145	237
190	145	236
191	146	234
192	146	233
193	147	232
194	147	230
195	147	229
196	148	228
197	148	226
198	149	225
199	149	224
200	150	223
201	150	221
202	150	220
203	151	219
204	151	218
205	152	217
206	152	215
207	152	214
208	153	213
209	153	212
210	154	211
211	154	209
212	154	208
213	155	207
214	155	206
215	156	205
216	156	204
217	157	203
218	157	202
219	158	201
220	158	200
221	158	198
222	159	197
223	159	196
224	160	195
225	160	194
226	160	193
227	161	192
228	161	191
229	162	190
230	162	189
231	162	188
232	163	187
233	163	186
234	164	185
235	164	184
236	164	183
237	165	182
238	165	181
239	166	180
240	166	179
241	167	178
242	167	177
243	167	176
244	168	175
245	168	174
246	169	173
247	169	172
248	170	171
249	170	170
250	171	169
251	171	168
252	171	167
253	172	166
254	172	165
255	173	165
256	173	164
257	173	163
258	174	162
259	174	161
260	175	160
261	175	159
262	176	158
263	176	157
264	176	156
265	177	156
266	177	155
267	178	154
268	178	153
269	179	152
270	179	151
271	180	150
272	180	150
273	180	149
274	181	148
275	181	147
276	182	146
277	182	145
278	183	145
279	183	144
280	184	143
281	184	142
282	185	142
283	185	141
284	186	140
285	186	139
286	187	138
287	187	138
288	188	137
289	188	136
290	188	135
291	189	134
292	189	134
293	190	133
294	190	132
295	191	131
296	191	130
297	192	130
298	192	129
299	192	128
300	193	127
301	193	126
302	194	126
303	194	125
304	194	124
305	195	123
306	195	123
307	196	122
308	196	121
309	197	120
310	197	120
311	197	119
312	198	118
313	198	117
314	199	116
315	199	116
316	200	115
317	200	114
318	200	113
319	201	113
320	201	112
321	202	111
322	202	111
323	203	110
324	203	109
325	204	108
326	204	108
327	205	107
328	205	106
329	206	106
330	206	105
331	206	104
332	207	104
333	207	103
334	208	102
335	208	101
336	209	101
337	210	100
338	210	100
339	211	99
340	211	98
341	212	98
342	212	97
343	213	96
344	213	96
345	214	95
346	214	94
347	215	93
348	215	93
349	216	92
350	216	91
351	217	91
352	217	90
353	218	89
354	218	89
355	219	88
356	219	87
357	220	87
358	220	86
359	220	85
360	221	85
361	222	84
362	222	84
363	223	83
364	223	82
365	224	82
366	224	81
367	225	80
368	225	80
369	226	79
370	226	78
371	227	78
372	227	77
373	228	76
374	229	76
375	229	75
376	230	75
377	230	74
378	231	73
379	231	73
380	232	72
381	232	71
382	233	71
383	234	70
384	234	70
385	235	69
386	235	68
387	236	68
388	236	67
389	237	66
390	238	66
391	238	65
392	239	65
393	239	64
394	240	63
395	241	63
396	241	62
397	242	62
398	242	61
399	243	60
400	244	60
401	244	59
402	245	58
403	245	58
404	246	57
405	246	57
406	247	56
407	247	55
408	248	55
409	249	54
410	249	54
411	249	53
412	250	52
413	250	52
414	251	51
415	251	50
416	252	50
417	253	49
418	253	49
419	254	48
420	254	47
421	255	47
422	256	46
423	256	45
424	257	45
425	257	44
426	258	44
427	258	43
428	259	42
429	259	42
430	260	41
431	260	41
432	261	40
433	261	39
434	262	39
435	262	38
436	262	37
437	263	37
438	263	36
439	264	36
440	264	35
441	265	34
442	265	34
443	266	33
444	266	32
445	267	32
446	267	31
447	267	31
448	268	30
449	268	29
450	269	29
451	269	28
452	270	28
453	270	27
454	270	26
455	271	26
456	271	25
457	272	24
458	272	24
459	273	23
460	273	23
461	274	22
462	274	21
463	275	21
464	275	20
465	275	20
466	276	19
467	276	18
468	277	18
469	277	17
470	278	17
471	278	16
472	278	15
473	279	15
474	279	14
475	280	14
476	280	13
477	281	12
478	281	12
479	282	11
480	282	11
481	282	10
482	283	9
483	284	9
484	284	8
485	284	8
486	285	7
487	285	7
488	286	6
489	286	5
490	287	5
491	287	4
492	288	4
493	288	3
494	289	2
495	289	2
496	290	1
497	290	1
498	291	0
499	291	0
