iter	Passed	Remaining
0	148	148546
1	151	75526
2	154	51304
3	157	39287
4	161	32128
5	164	27206
6	167	23831
7	173	21540
8	176	19380
9	178	17640
10	180	16256
11	182	15049
12	185	14080
13	188	13255
14	190	12526
15	193	11891
16	195	11324
17	198	10846
18	201	10429
19	206	10099
20	208	9729
21	211	9420
22	214	9113
23	217	8836
24	219	8569
25	222	8323
26	225	8127
27	227	7896
28	230	7722
29	232	7532
30	235	7354
31	237	7192
32	239	7031
33	243	6907
34	245	6759
35	247	6631
36	250	6528
37	252	6402
38	256	6315
39	258	6210
40	261	6120
41	264	6028
42	267	5944
43	269	5858
44	271	5766
45	273	5681
46	275	5595
47	279	5533
48	280	5451
49	282	5362
50	282	5264
51	284	5190
52	286	5123
53	288	5053
54	290	4986
55	292	4925
56	293	4857
57	294	4788
58	296	4730
59	298	4677
60	299	4616
61	301	4559
62	303	4508
63	304	4459
64	306	4406
65	307	4355
66	310	4321
67	312	4276
68	313	4233
69	315	4191
70	317	4153
71	318	4109
72	320	4066
73	321	4023
74	322	3983
75	324	3945
76	325	3904
77	326	3865
78	328	3829
79	329	3791
80	330	3753
81	332	3718
82	332	3676
83	334	3644
84	335	3614
85	336	3580
86	338	3547
87	339	3515
88	340	3485
89	341	3455
90	342	3424
91	343	3394
92	344	3363
93	345	3334
94	347	3307
95	348	3279
96	349	3252
97	350	3223
98	351	3196
99	352	3171
100	353	3148
101	354	3124
102	355	3099
103	357	3075
104	357	3051
105	359	3027
106	360	3007
107	361	2985
108	362	2963
109	363	2942
110	364	2920
111	366	2905
112	368	2891
113	369	2872
114	370	2852
115	371	2833
116	373	2815
117	374	2796
118	375	2776
119	376	2757
120	377	2739
121	378	2721
122	379	2706
123	380	2690
124	381	2673
125	382	2655
126	383	2637
127	385	2623
128	386	2607
129	387	2591
130	388	2574
131	389	2558
132	389	2541
133	391	2528
134	392	2513
135	393	2498
136	394	2483
137	395	2470
138	396	2455
139	397	2443
140	398	2429
141	399	2414
142	400	2400
143	401	2386
144	402	2372
145	403	2360
146	404	2348
147	405	2335
148	406	2322
149	407	2309
150	408	2297
151	409	2285
152	410	2274
153	411	2262
154	412	2251
155	413	2239
156	415	2228
157	416	2217
158	417	2207
159	418	2197
160	419	2184
161	420	2173
162	421	2162
163	422	2152
164	423	2143
165	424	2132
166	425	2120
167	425	2109
168	426	2098
169	427	2087
170	428	2077
171	429	2067
172	430	2056
173	431	2046
174	431	2035
175	432	2025
176	433	2014
177	434	2004
178	435	1995
179	436	1987
180	437	1978
181	438	1970
182	439	1962
183	440	1953
184	441	1945
185	442	1936
186	443	1927
187	444	1919
188	445	1910
189	446	1902
190	447	1893
191	448	1886
192	449	1877
193	449	1869
194	450	1860
195	451	1852
196	452	1843
197	453	1835
198	454	1828
199	455	1821
200	456	1812
201	456	1805
202	457	1797
203	458	1790
204	459	1782
205	460	1775
206	461	1769
207	462	1761
208	463	1754
209	464	1746
210	465	1739
211	465	1731
212	467	1726
213	468	1719
214	468	1712
215	469	1705
216	470	1697
217	471	1690
218	472	1683
219	473	1677
220	474	1670
221	474	1664
222	475	1657
223	476	1650
224	477	1643
225	478	1637
226	478	1631
227	480	1625
228	480	1619
229	481	1612
230	482	1606
231	483	1599
232	484	1593
233	484	1586
234	485	1581
235	486	1575
236	487	1569
237	488	1563
238	489	1557
239	489	1551
240	490	1545
241	491	1539
242	492	1534
243	493	1528
244	494	1522
245	494	1516
246	495	1510
247	496	1504
248	496	1498
249	497	1493
250	498	1488
251	499	1482
252	500	1476
253	500	1471
254	501	1465
255	502	1459
256	502	1453
257	503	1448
258	504	1442
259	505	1437
260	505	1432
261	506	1426
262	507	1420
263	507	1415
264	509	1412
265	509	1407
266	510	1402
267	512	1399
268	512	1394
269	513	1388
270	514	1384
271	515	1379
272	515	1373
273	516	1368
274	517	1364
275	518	1360
276	519	1354
277	519	1349
278	520	1344
279	521	1339
280	521	1335
281	522	1330
282	523	1326
283	524	1321
284	525	1317
285	526	1313
286	526	1308
287	527	1304
288	528	1300
289	529	1296
290	530	1292
291	531	1288
292	532	1283
293	532	1279
294	533	1275
295	534	1271
296	535	1267
297	536	1263
298	537	1260
299	538	1256
300	539	1252
301	540	1248
302	541	1244
303	542	1240
304	543	1238
305	544	1234
306	545	1230
307	546	1226
308	546	1223
309	547	1219
310	548	1215
311	549	1211
312	550	1207
313	551	1204
314	551	1200
315	552	1196
316	553	1192
317	554	1188
318	555	1185
319	556	1181
320	557	1178
321	557	1174
322	558	1170
323	559	1167
324	560	1163
325	560	1159
326	561	1156
327	562	1152
328	563	1149
329	564	1145
330	564	1141
331	565	1138
332	566	1134
333	566	1130
334	568	1127
335	568	1124
336	569	1120
337	570	1117
338	571	1113
339	571	1110
340	572	1106
341	573	1102
342	574	1099
343	574	1096
344	575	1092
345	576	1088
346	576	1085
347	577	1081
348	578	1078
349	579	1075
350	579	1071
351	580	1068
352	581	1065
353	582	1062
354	582	1058
355	583	1055
356	584	1052
357	584	1048
358	585	1045
359	586	1042
360	587	1039
361	588	1036
362	588	1033
363	589	1030
364	590	1027
365	591	1023
366	591	1020
367	592	1017
368	593	1014
369	594	1011
